time,open,high,low,close,volume,tick_volume,spread
2025-09-12T03:00:00+00:00,46111.77,46129.07,46097.77,46116.87,1361,326,0
2025-09-12T04:00:00+00:00,46117.42,46119.75,46078.92,46082.37,1054,326,0
2025-09-12T05:00:00+00:00,46083.07,46110.27,46076.97,46102.07,931,326,0
2025-09-12T06:00:00+00:00,46102.87,46115.17,46095.47,46111.17,667,326,0
2025-09-12T07:00:00+00:00,46111.37,46121.17,46098.97,46102.67,672,326,0
2025-09-12T08:00:00+00:00,46102.87,46113.87,46092.37,46108.45,846,260,0
2025-09-12T09:00:00+00:00,46109.05,46109.05,46041.19,46060.69,1923,260,0
2025-09-12T10:00:00+00:00,46062.42,46083.89,46022.69,46028.99,3561,301,0
2025-09-12T11:00:00+00:00,46030.09,46039.12,45973.22,46025.72,3195,301,0
2025-09-12T12:00:00+00:00,46025.82,46035.22,46002.72,46009.02,1619,326,0
2025-09-12T13:00:00+00:00,46009.41,46027.42,46001.92,46026.42,1200,326,0
2025-09-12T14:00:00+00:00,46026.45,46033.05,45982.35,45990.45,1663,251,0
2025-09-12T15:00:00+00:00,45991.45,46024.55,45982.25,46023.65,3203,251,0
2025-09-12T16:00:00+00:00,46023.75,46059.15,45954.15,46034.37,29004,251,0
2025-09-12T17:00:00+00:00,46034.77,46050.15,45896.45,45951.75,25114,251,0
2025-09-12T18:00:00+00:00,45952.1,45952.15,45869.52,45900.75,14790,251,0
2025-09-12T19:00:00+00:00,45900.92,45913.15,45868.65,45890.22,7592,251,0
2025-09-12T20:00:00+00:00,45890.92,45928.05,45872.23,45890.55,5816,251,0
2025-09-12T21:00:00+00:00,45890.65,45946.05,45879.25,45900.45,5564,251,0
2025-09-12T22:00:00+00:00,45900.85,45920.75,45791.52,45815.65,11623,251,0
2025-09-12T23:00:00+00:00,45815.85,45835.39,45803.14,45817.69,2167,251,0
2025-09-15T01:00:00+00:00,45828.57,45840.99,45800.57,45832.07,1581,326,0
2025-09-15T02:00:00+00:00,45831.87,45837.37,45804.57,45816.77,971,326,0
2025-09-15T03:00:00+00:00,45816.97,45822.67,45788.87,45815.02,1367,326,0
2025-09-15T04:00:00+00:00,45817.27,45839.77,45815.77,45836.97,1026,326,0
2025-09-15T05:00:00+00:00,45837.02,45846.07,45829.87,45845.87,731,326,0
2025-09-15T06:00:00+00:00,45846.17,45850.87,45832.17,45835.37,550,326,0
2025-09-15T07:00:00+00:00,45835.27,45849.67,45833.57,45849.67,382,326,0
2025-09-15T08:00:00+00:00,45849.77,45862.27,45835.97,45859.97,564,326,0
2025-09-15T09:00:00+00:00,45861.57,45891.79,45859.57,45881.39,1304,301,0
2025-09-15T10:00:00+00:00,45881.69,45900.79,45868.99,45897.59,1923,301,0
2025-09-15T11:00:00+00:00,45897.49,45928.52,45819.89,45906.29,4219,301,0
2025-09-15T12:00:00+00:00,45906.09,45923.02,45899.89,45912.12,1778,301,0
2025-09-15T13:00:00+00:00,45912.32,45922.62,45875.62,45901.02,1623,313,0
2025-09-15T14:00:00+00:00,45901.23,45903.33,45871.58,45898.5,1676,251,0
2025-09-15T15:00:00+00:00,45898.63,45934.03,45895.13,45923.43,3265,251,0
2025-09-15T16:00:00+00:00,45923.23,45936.83,45791.88,45918.4,18048,251,0
2025-09-15T17:00:00+00:00,45917.63,45971.79,45819.83,45935.43,15305,251,0
2025-09-15T18:00:00+00:00,45935.13,45939.43,45757.55,45798.1,10469,251,0
2025-09-15T19:00:00+00:00,45798.05,45873.85,45786.95,45825.45,7905,251,0
2025-09-15T20:00:00+00:00,45825.35,45877.95,45778.05,45862.65,7469,251,0
2025-09-15T21:00:00+00:00,45862.75,45865.35,45784.48,45847.15,8178,251,0
2025-09-15T22:00:00+00:00,45847.45,45892.75,45817.05,45884.45,11114,251,0
2025-09-15T23:00:00+00:00,45883.75,45885.15,45843.47,45849.87,2107,251,0
2025-09-16T01:00:00+00:00,45850.77,45861.57,45834.37,45838.07,641,326,0
2025-09-16T02:00:00+00:00,45838.57,45883.47,45838.57,45873.87,780,326,0
2025-09-16T03:00:00+00:00,45874.57,45874.57,45847.47,45861.57,1075,326,0
2025-09-16T04:00:00+00:00,45861.77,45881.77,45855.37,45864.27,842,326,0
2025-09-16T05:00:00+00:00,45864.17,45897.97,45861.67,45882.77,696,326,0
2025-09-16T06:00:00+00:00,45883.47,45921.97,45881.87,45915.17,648,326,0
2025-09-16T07:00:00+00:00,45914.87,45915.57,45900.97,45911.77,421,326,0
2025-09-16T08:00:00+00:00,45911.97,45934.47,45902.52,45925.47,771,326,0
2025-09-16T09:00:00+00:00,45925.07,45936.67,45884.09,45885.49,1033,301,0
2025-09-16T10:00:00+00:00,45885.59,45928.39,45876.19,45926.09,3082,301,0
2025-09-16T11:00:00+00:00,45923.99,45925.29,45879.89,45910.69,2311,301,0
2025-09-16T12:00:00+00:00,45910.89,45928.69,45867.89,45877.49,1392,301,0
2025-09-16T13:00:00+00:00,45877.29,45906.19,45868.09,45890.89,1377,301,0
2025-09-16T14:00:00+00:00,45891.15,45894.55,45869.45,45878.05,1679,251,0
2025-09-16T15:00:00+00:00,45878.3,45886.05,45821.3,45832.45,2869,140,0
2025-09-16T16:00:00+00:00,45832.55,45959.35,45727.47,45745.95,18069,251,0
2025-09-16T17:00:00+00:00,45747.05,45762.55,45648.53,45697.05,19334,251,0
2025-09-16T18:00:00+00:00,45698.05,45761.35,45661.75,45750.98,12016,251,0
2025-09-16T19:00:00+00:00,45750.68,45781.05,45731.35,45765.25,8841,251,0
2025-09-16T20:00:00+00:00,45765.15,45786.75,45731.35,45760.55,6701,251,0
2025-09-16T21:00:00+00:00,45759.85,45805.71,45731.53,45788.05,5834,251,0
2025-09-16T22:00:00+00:00,45788.5,45793.35,45701.35,45754.4,10130,251,0
2025-09-16T23:00:00+00:00,45753.75,45796.87,45751.67,45778.77,1865,251,0
2025-09-17T01:00:00+00:00,45775.2,45807.57,45764.37,45799.47,874,326,0
2025-09-17T02:00:00+00:00,45799.87,45806.07,45780.87,45795.57,525,326,0
2025-09-17T03:00:00+00:00,45794.27,45806.57,45776.47,45784.27,1281,326,0
2025-09-17T04:00:00+00:00,45784.17,45789.17,45752.22,45754.77,1220,326,0
2025-09-17T05:00:00+00:00,45756.57,45762.77,45715.97,45734.07,811,326,0
2025-09-17T06:00:00+00:00,45732.67,45735.17,45723.87,45731.17,492,326,0
2025-09-17T07:00:00+00:00,45731.55,45744.67,45723.07,45738.37,518,326,0
2025-09-17T08:00:00+00:00,45738.47,45744.35,45719.47,45737.75,809,208,0
2025-09-17T09:00:00+00:00,45737.44,45765.92,45711.17,45755.52,1434,182,0
2025-09-17T10:00:00+00:00,45755.62,45771.12,45727.2,45758.72,2210,326,0
2025-09-17T11:00:00+00:00,45758.62,45774.72,45711.92,45765.02,4294,301,0
2025-09-17T12:00:00+00:00,45764.72,45788.62,45755.32,45768.72,1745,326,0
2025-09-17T13:00:00+00:00,45769.02,45786.62,45751.42,45756.97,1739,326,0
2025-09-17T14:00:00+00:00,45756.75,45788.73,45740.13,45778.53,1918,276,0
2025-09-17T15:00:00+00:00,45779.63,45834.43,45772.73,45830.63,2201,263,0
2025-09-17T16:00:00+00:00,45831.23,46073.11,45805.13,46025.15,18855,251,0
2025-09-17T17:00:00+00:00,46025.35,46090.08,45938.8,46059.15,17435,251,0
2025-09-17T18:00:00+00:00,46060.35,46103.65,46031.23,46100.0,9962,251,0
2025-09-17T19:00:00+00:00,46099.75,46103.55,45940.8,45948.55,10374,251,0
2025-09-17T20:00:00+00:00,45948.6,46043.42,45947.35,46037.62,8338,251,0
2025-09-17T21:00:00+00:00,46034.82,46276.89,45671.8,45920.81,99177,130,0
2025-09-17T22:00:00+00:00,45920.15,46074.51,45873.91,46018.06,77810,251,0
2025-09-17T23:00:00+00:00,46018.65,46054.87,45988.62,46019.52,6896,251,0
2025-09-18T01:00:00+00:00,46027.7,46146.17,46023.42,46129.02,3344,326,0
2025-09-18T02:00:00+00:00,46128.42,46172.92,46127.27,46142.97,2271,326,0
2025-09-18T03:00:00+00:00,46143.57,46143.57,46086.07,46098.27,3050,326,0
2025-09-18T04:00:00+00:00,46098.17,46137.37,46097.27,46131.97,2721,326,0
2025-09-18T05:00:00+00:00,46132.17,46157.17,46117.97,46145.07,1683,326,0
2025-09-18T06:00:00+00:00,46144.47,46172.37,46134.47,46146.27,2200,326,0
2025-09-18T07:00:00+00:00,46146.67,46168.37,46136.87,46165.72,1750,326,0
2025-09-18T08:00:00+00:00,46165.27,46169.07,46118.77,46145.17,2522,326,0
2025-09-18T09:00:00+00:00,46144.37,46171.82,46100.19,46164.29,4986,301,0
2025-09-18T10:00:00+00:00,46164.92,46242.94,46153.49,46234.59,5040,301,0
2025-09-18T11:00:00+00:00,46233.72,46351.59,46209.29,46336.99,4918,301,0
2025-09-18T12:00:00+00:00,46337.29,46365.39,46315.89,46329.69,3226,301,0
2025-09-18T13:00:00+00:00,46330.29,46347.04,46279.69,46303.49,2516,301,0
2025-09-18T14:00:00+00:00,46303.75,46346.35,46243.5,46260.05,5133,251,0
2025-09-18T15:00:00+00:00,46260.63,46265.95,46101.28,46101.8,7570,140,0
2025-09-18T16:00:00+00:00,46102.35,46103.63,45938.78,46072.85,46469,251,0
2025-09-18T17:00:00+00:00,46072.35,46325.11,46068.05,46140.95,40862,251,0
